#{"t_start": 1776068034.2659597, "env_id": "None"}
r,l,t
12.0,18,12.007221
11.75,18,12.020257
-8.3,18,12.027363
1.85,18,12.03386
12.7,18,12.044609
-8.45,18,12.051629
12.8,18,12.062801
-8.2,18,12.071583
11.85,18,12.079858
1.0,18,12.088535
12.05,18,12.098023
2.8,18,12.104501
13.75,18,12.116289
12.2,18,12.14807
2.65,18,12.165693
12.5,18,12.178948
-7.95,18,12.188995
13.0,18,12.19795
-8.6,18,12.207074
13.3,18,12.215273
12.45,18,12.220604
-7.6,18,12.233291
2.55,18,12.243403
15.3,18,12.251652
-7.7,18,12.262539
-8.85,18,12.271776
14.0,18,12.280903
-7.45,18,12.289066
12.1,18,12.325662
-8.35,18,12.328666
12.15,18,12.341266
14.55,18,12.353832
12.1,18,12.364749
12.75,18,12.373747
-7.4,18,12.382875
13.9,18,12.391108
12.15,18,12.397746
12.1,18,12.401759
-8.45,18,12.416441
-8.55,18,12.424165
14.15,18,12.431278
-6.85,18,12.441317
13.95,18,12.47493
12.4,18,12.479929
12.65,18,12.491979
-8.35,18,12.49914
-7.9,18,12.509205
13.2,18,12.51873
12.85,18,12.52721
-7.95,18,12.536822
-8.55,18,12.543434
12.25,18,12.553555
13.45,18,12.560605
14.2,18,12.572008
-8.45,18,12.580361
14.85,18,12.589029
-8.95,18,12.622019
14.3,18,12.631224
11.9,18,12.637947
-8.25,18,12.648856
-8.4,18,12.657924
12.3,18,12.667604
-8.75,18,12.67678
1.45,18,12.687046
-9.15,18,12.692676
-7.9,18,12.706909
2.55,18,12.715057
-7.7,18,12.722422
-8.35,18,12.732309
13.55,18,12.740376
2.95,18,12.772984
12.45,18,12.776987
13.85,18,12.789875
12.9,18,12.80069
1.0,18,12.810804
11.3,18,12.819119
12.0,18,12.829697
-6.4,18,12.838809
2.9,18,12.846717
-7.2,18,12.850612
1.85,18,12.864756
13.05,18,12.876707
-8.45,18,12.885795
-8.6,18,12.894985
-8.85,18,12.903972
14.0,18,12.934467
2.6,18,12.934467
-8.45,18,12.957026
12.45,18,12.964523
1.9,18,12.973511
1.4,18,12.983842
13.2,18,12.990842
-8.9,18,13.003182
-8.9,18,13.013098
-8.45,18,13.02113
12.05,18,13.0313
13.3,18,13.039516
11.85,18,13.056466
3.45,18,13.064629
15.15,18,13.095965
-8.5,18,13.103723
-8.8,18,13.113231
-8.7,18,13.12281
-8.95,18,13.129071
12.9,18,13.141133
11.9,18,13.149439
16.2,18,13.158506
16.85,18,13.166747
16.25,18,13.173341
12.0,18,13.185835
-8.05,18,13.194911
-6.7,18,13.203103
-8.65,18,13.213024
16.45,18,13.243938
14.75,18,13.243938
12.5,18,13.263646
-9.05,18,13.274854
13.95,18,13.28084
-7.9,18,13.292063
11.75,18,13.298556
12.6,18,13.30913
-9.05,18,13.323114
14.2,18,13.328109
13.05,18,13.341119
-8.45,18,13.351477
13.7,18,13.359215
12.1,18,13.36991
-7.85,18,13.404373
12.9,18,13.413203
14.8,18,13.421342
11.8,18,13.432941
13.05,18,13.439122
-8.95,18,13.451502
-8.5,18,13.461634
-9.15,18,13.470957
12.25,18,13.480982
16.1,18,13.488815
3.1,18,13.497835
1.65,18,13.505052
-6.4,18,13.515162
0.85,18,13.522711
2.65,18,13.555593
13.2,18,13.563701
-8.1,18,13.571333
-8.6,18,13.581781
-9.1,18,13.588769
-5.95,18,13.598965
-8.55,18,13.608196
1.85,18,13.617979
-7.65,18,13.625914
13.6,18,13.636283
12.9,18,13.643706
13.7,18,13.654413
12.5,18,13.661685
-8.15,18,13.672701
13.35,18,13.683022
-9.15,18,13.721831
-7.05,18,13.729841
1.75,18,13.742255
12.2,18,13.750869
12.85,18,13.763786
-8.8,18,13.774832
12.5,18,13.784931
-8.25,18,13.794088
12.15,18,13.808388
-8.9,18,13.818113
-8.2,18,13.827904
-8.5,18,13.835243
3.0,18,13.844334
13.05,18,13.850021
2.95,18,13.885759
11.6,18,13.898785
13.95,18,13.950564
12.1,18,13.960849
12.95,18,13.970529
-8.6,18,13.977606
2.35,18,13.983327
2.0,18,13.99559
13.1,18,14.006846
-7.95,18,14.016868
-6.95,18,14.020065
-7.55,18,14.032277
13.85,18,14.042416
-8.7,18,14.050125
12.45,18,14.08278
12.1,18,14.091095
-8.1,18,14.101256
-8.55,18,14.110108
13.1,18,14.118763
12.2,18,14.134143
12.6,18,14.142051
12.15,18,14.147255
13.15,18,14.159425
13.75,18,14.1675
11.75,18,14.176664
13.4,18,14.185
2.75,18,14.191666
12.3,18,14.20301
13.05,18,14.23217
-9.2,18,14.24461
-9.4,18,14.253877
2.0,18,14.262625
1.8,18,14.271995
13.5,18,14.282935
12.1,18,14.286588
-8.7,18,14.298872
-8.45,18,14.309272
-7.35,18,14.318472
-8.85,18,14.32538
13.05,18,14.336193
-8.7,18,14.342458
12.85,18,14.352268
12.5,18,14.359249
13.25,18,14.394179
13.05,18,14.395181
-7.75,18,14.409993
-8.25,18,14.421186
-8.7,18,14.425704
-7.65,18,14.43818
13.2,18,14.449351
12.2,18,14.456162
-8.25,18,14.467419
-8.65,18,14.477221
13.1,18,14.485778
2.0,18,14.492903
13.15,18,14.498553
-7.9,18,14.51068
12.25,18,14.544224
-7.15,18,14.552184
12.65,18,14.559488
14.05,18,14.570497
12.85,18,14.581239
-8.8,18,14.592716
13.85,18,14.601871
1.7,18,14.611276
14.0,18,14.624074
14.85,18,14.634098
2.95,18,14.645202
-8.75,18,14.654143
12.85,18,14.664053
2.5,18,14.674587
1.7,18,14.716107
-7.85,18,14.724133
-6.7,18,14.735214
13.1,18,14.744268
12.6,18,14.754923
3.6,18,14.764351
3.25,18,14.774471
-8.25,18,14.784599
-7.85,18,14.793546
14.9,18,14.802644
12.05,18,14.815416
-9.3,18,14.821507
-8.85,18,14.831733
-8.0,18,14.841242
15.3,18,14.877579
15.45,18,14.885675
-7.0,18,14.898828
14.1,18,14.907862
-8.2,18,14.916585
11.75,18,14.92706
-8.55,18,14.934072
-8.05,18,14.945268
-8.5,18,14.955026
-8.15,18,14.964416
1.7,18,14.979458
12.25,18,14.993848
-8.6,18,15.009651
