#{"t_start": 1776096173.95502, "env_id": "None"}
r,l,t
-5.5,18,20.284436
-8.75,18,20.296453
-8.15,18,20.352961
-8.85,18,20.364436
15.55,18,20.364436
-7.4,18,20.392349
14.1,18,20.408112
-7.0,18,20.419869
12.2,18,20.435632
-9.55,18,20.447671
-6.95,18,20.460727
-7.95,18,20.472146
-8.55,18,20.49402
-8.7,18,20.509809
12.6,18,20.523571
-8.25,18,20.540232
12.85,18,20.591258
-7.4,18,20.605063
2.3,18,20.617117
-8.1,18,20.628912
-6.65,18,20.642711
-8.9,18,20.656495
-8.5,18,20.669678
-7.85,18,20.68272
-8.15,18,20.694255
-9.7,18,20.707637
-9.05,18,20.721199
-8.75,18,20.732996
-9.1,18,20.745075
1.95,18,20.756833
-8.8,18,20.812486
-9.35,18,20.823354
12.5,18,20.839585
-8.95,18,20.852608
-9.05,18,20.874586
-8.8,18,20.888224
-8.2,18,20.901153
-7.1,18,20.914173
12.8,18,20.925939
11.85,18,20.939736
-8.0,18,20.953531
-8.25,18,20.965583
-7.1,18,20.979389
-9.0,18,20.99317
11.85,18,21.0077
-7.5,18,21.064719
-9.45,18,21.076477
2.4,18,21.094242
-6.5,18,21.10695
-7.75,18,21.118493
13.5,18,21.133767
-8.6,18,21.145524
-9.1,18,21.159284
13.65,18,21.173303
-7.65,18,21.185059
13.7,18,21.198821
-7.85,18,21.211566
-8.4,18,21.225357
-7.45,18,21.239118
-9.0,18,21.298294
-9.05,18,21.312619
13.2,18,21.325298
-9.3,18,21.337056
12.1,18,21.347069
13.05,18,21.352818
-9.15,18,21.370878
14.2,18,21.382671
-8.1,18,21.396725
16.15,18,21.407879
-7.6,18,21.428403
12.65,18,21.441818
14.1,18,21.452507
-8.95,18,21.465565
1.5,18,21.523563
-8.35,18,21.53819
13.45,18,21.550425
-7.65,18,21.562566
-8.3,18,21.576367
-8.55,18,21.590168
-7.55,18,21.603972
-8.75,18,21.620718
-8.65,18,21.63501
1.75,18,21.647367
-8.15,18,21.658884
-6.5,18,21.672169
13.45,18,21.682188
-8.35,18,21.697241
-8.3,18,21.752284
3.55,18,21.764042
-9.6,18,21.777819
13.25,18,21.789594
2.75,18,21.803354
-5.05,18,21.817374
-9.25,18,21.833136
-8.75,18,21.845352
12.85,18,21.859113
-7.55,18,21.869126
-8.95,18,21.884763
14.2,18,21.898523
12.3,18,21.912284
12.0,18,21.930312
-7.6,18,21.942423
14.0,18,22.001942
-9.05,18,22.015961
-8.4,18,22.027719
-7.3,18,22.043482
-8.3,18,22.056727
-7.35,18,22.067786
-8.9,18,22.081546
2.85,18,22.095305
12.3,18,22.10831
13.05,18,22.122329
-8.7,18,22.134345
1.6,18,22.151851
15.6,18,22.162707
-8.4,18,22.174723
-8.4,18,22.223515
-7.45,18,22.233529
-8.9,18,22.247288
-8.8,18,22.255713
12.8,18,22.263231
-8.9,18,22.283137
-8.15,18,22.295387
17.25,18,22.345807
-7.8,18,22.358262
-8.0,18,22.371776
-6.55,18,22.383569
-7.15,18,22.39737
-7.5,18,22.409421
-8.25,18,22.421216
-8.9,18,22.477263
12.8,18,22.489318
-8.7,18,22.501076
1.6,18,22.51485
-8.5,18,22.528645
14.55,18,22.540406
-9.25,18,22.55042
-7.45,18,22.564181
11.85,18,22.57746
-6.75,18,22.58781
12.9,18,22.597568
-7.05,18,22.609583
-8.4,18,22.621341
-8.3,18,22.634343
3.2,18,22.688647
13.8,18,22.704486
-8.65,18,22.718468
-8.95,18,22.731421
13.1,18,22.744479
13.05,18,22.758279
15.1,18,22.774723
-6.95,18,22.787222
-8.7,18,22.80022
-8.6,18,22.812014
-7.6,18,22.825815
15.75,18,22.839889
-8.0,18,22.851941
-8.9,18,22.867757
-7.3,18,22.923269
14.75,18,22.937029
-7.9,18,22.948806
-8.0,18,22.962611
12.8,18,22.976412
-8.9,18,22.988429
2.8,18,23.001166
-8.2,18,23.011772
-9.45,18,23.021785
-7.7,18,23.035545
1.9,18,23.047302
3.25,18,23.059317
-8.4,18,23.069071
-6.8,18,23.084834
-7.45,18,23.100665
-8.55,18,23.154107
12.95,18,23.167815
-9.0,18,23.183148
-7.7,18,23.194906
2.95,18,23.207273
-8.55,18,23.220077
16.5,18,23.232093
-6.05,18,23.24385
13.2,18,23.259613
-7.5,18,23.271371
-9.45,18,23.285131
-8.35,18,23.300894
-8.5,18,23.315541
-7.9,18,23.328195
-9.35,18,23.382843
14.05,18,23.394859
-8.5,18,23.612226
-6.8,18,23.627999
15.8,18,23.645052
-8.95,18,23.655878
12.8,18,23.664061
13.65,18,23.679083
14.1,18,23.735438
-9.05,18,23.754499
-8.7,18,23.772832
12.6,18,23.780974
3.05,18,23.79688
-9.75,18,23.814571
14.6,18,23.87859
12.9,18,23.892181
-7.9,18,23.90468
-7.8,18,23.917401
-6.6,18,23.930461
-8.45,18,23.944521
-8.65,18,23.959323
-7.35,18,23.97134
-9.1,18,23.985761
12.85,18,23.999174
-8.1,18,24.012598
-8.35,18,24.024614
-8.75,18,24.038377
13.8,18,24.052164
-8.1,18,24.109545
-8.8,18,24.121264
2.2,18,24.135065
-8.4,18,24.146854
-9.4,18,24.160903
-8.5,18,24.177434
-8.55,18,24.188916
11.95,18,24.202697
-7.0,18,24.213994
-7.8,18,24.224008
-7.2,18,24.236023
-7.45,18,24.247781
11.6,18,24.259537
-8.4,18,24.273297
-5.4,18,24.285054
-7.8,18,24.340854
-9.15,18,24.353877
11.7,18,24.365896
-8.45,18,24.377656
-8.1,18,24.393347
16.3,18,24.407189
-8.45,18,24.419318
-9.1,18,24.430549
14.1,18,24.444568
-6.25,18,24.460331
-9.2,18,24.470085
-6.3,18,24.482101
-9.0,18,24.495861
13.0,18,24.505032
-8.55,18,24.559901
-8.45,18,24.571917
-8.15,18,24.585676
-8.8,18,24.597583
-8.5,18,24.612176
-8.45,18,24.624984
-8.55,18,24.637699
-9.25,18,24.649716
-6.65,18,24.663478
-7.45,18,24.674932
-8.75,18,24.689835
-6.6,18,24.704994
-8.0,18,24.704994
-7.6,18,24.726463
-7.85,18,24.877757
-8.25,18,24.897287
-9.45,18,24.91105
-8.65,18,24.921064
-8.2,18,24.935102
14.7,18,24.949957
-8.15,18,24.963082
-9.15,18,24.976842
